name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
veggiemonk/awesome-docker,https://github.com/veggiemonk/awesome-docker,36663,2014-09-21T17:01:48+00:00,2026-08-18T20:54:04+00:00,151,155,11.91,4349.24,1057,1,0.08,Undefined,0.9742
google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,36655,2019-06-13T19:16:41+00:00,2026-08-18T21:11:48+00:00,5307,5666,7.18,2623.15,201,67,0.07,C++,0.9366
ZuodaoTech/everyone-can-use-english,https://github.com/ZuodaoTech/everyone-can-use-english,36644,2019-03-15T16:33:53+00:00,2026-06-29T09:40:15+00:00,383,505,7.43,2713.26,464,48,50.55,TypeScript,0.7584
microsoft/Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,36642,2021-03-03T16:30:15+00:00,2026-08-11T19:43:58+00:00,137,138,5.46,1994.26,497,0,7.13,Jupyter Notebook,0.9928
typeorm/typeorm,https://github.com/typeorm/typeorm,36631,2016-02-29T07:41:14+00:00,2026-08-13T06:47:32+00:00,8195,8636,10.47,3823.63,2669,45,5.67,TypeScript,0.9489
date-fns/date-fns,https://github.com/date-fns/date-fns,36628,2014-10-06T10:24:22+00:00,2026-08-10T08:47:59+00:00,1390,2055,11.87,4334.52,1073,127,8.58,TypeScript,0.6764
jaywcjlove/linux-command,https://github.com/jaywcjlove/linux-command,36605,2016-11-12T15:44:26+00:00,2026-08-11T18:01:06+00:00,139,212,9.76,3566.29,377,32,7.2,Markdown,0.6557
mpv-player/mpv,https://github.com/mpv-player/mpv,36583,2012-10-13T08:08:44+00:00,2026-08-17T17:57:13+00:00,10145,11144,13.85,5057.61,4136,89,1.2,C,0.9104
1Panel-dev/1Panel,https://github.com/1Panel-dev/1Panel,36569,2022-07-19T15:44:52+00:00,2026-08-18T10:46:30+00:00,6606,6884,4.08,1491.29,5358,125,0.5,Go,0.9596
khoj-ai/khoj,https://github.com/khoj-ai/khoj,36555,2021-08-16T01:48:44+00:00,2026-08-02T01:55:40+00:00,507,605,5.01,1828.87,500,173,16.87,Python,0.838
inkonchain/docs,https://github.com/inkonchain/docs,36524,2024-05-07T16:49:36+00:00,2026-08-13T14:41:21+00:00,13,41,2.28,833.25,418,0,5.34,MDX,0.3171
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,36511,2021-07-19T03:23:30+00:00,2024-08-06T13:15:18+00:00,179,764,5.08,1856.81,21,10,742.4,Python,0.2343
inkonchain/node,https://github.com/inkonchain/node,36477,2024-05-13T23:20:40+00:00,2026-08-05T18:22:59+00:00,14,31,2.26,826.98,40,6,13.18,Shell,0.4516
hankcs/HanLP,https://github.com/hankcs/HanLP,36477,2014-10-09T06:36:16+00:00,2025-11-15T23:08:17+00:00,1416,1424,11.86,4331.67,79,62,275.99,Python,0.9944
